index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,pirce_usd,price_euro
16,Chevrolet,hatchback,88.4,141.1,l,three,48,47,5151.0,5408.55
36,Mazda,hatchback,93.1,159.1,ohc,four,68,30,5195.0,5454.75
66,Toyota,hatchback,95.7,158.7,ohc,four,62,35,5348.0,5615.400000000001
48,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389.0,5658.45
37,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6095.0,6399.75
50,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,6189.0,6498.450000000001
20,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6229.0,6540.450000000001
17,Chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295.0,6609.75
67,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6338.0,6654.900000000001
19,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6377.0,6695.85
68,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6488.0,6812.400000000001
18,Chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575.0,6903.75
54,Nissan,sedan,94.5,165.3,ohc,four,69,31,6649.0,6981.450000000001
30,Isuzu,sedan,94.3,170.7,ohc,four,78,24,6785.0,7124.25
38,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6795.0,7134.75
55,Nissan,sedan,94.5,165.3,ohc,four,69,31,6849.0,7191.450000000001
69,Toyota,wagon,95.7,169.7,ohc,four,62,31,6918.0,7263.900000000001
51,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,6989.0,7338.450000000001
26,Honda,wagon,96.5,157.1,ohc,four,76,30,7295.0,7659.75
56,Nissan,wagon,94.5,170.2,ohc,four,69,31,7349.0,7716.450000000001
80,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7775.0,8163.75
70,Toyota,wagon,95.7,169.7,ohc,four,62,27,7898.0,8292.9
81,Volkswagen,sedan,97.3,171.7,ohc,four,85,27,7975.0,8373.75
82,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995.0,8394.75
52,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,8189.0,8598.45
71,Toyota,wagon,95.7,169.7,ohc,four,62,27,8778.0,9216.9
86,Volkswagen,sedan,97.3,171.7,ohc,four,100,26,9995.0,10494.75
29,Honda,sedan,96.5,169.1,ohc,four,100,25,10345.0,10862.25
39,Mazda,hatchback,95.3,169.0,rotor,two,101,17,11845.0,12437.25
87,Volvo,sedan,104.3,188.8,ohc,four,114,23,12940.0,13587.0
28,Honda,sedan,96.5,175.4,ohc,four,101,24,12945.0,13592.25
88,Volvo,wagon,104.3,188.8,ohc,four,114,23,13415.0,14085.75
0,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,13495.0,14169.75
57,Nissan,sedan,100.4,184.6,ohcv,six,152,19,13499.0,14173.95
3,Audi,sedan,99.8,176.6,ohc,four,102,24,13950.0,14647.5
5,Audi,sedan,99.8,177.3,ohc,five,110,19,15250.0,16012.5
79,Toyota,wagon,104.5,187.8,dohc,six,156,19,15750.0,16537.5
9,Bmw,sedan,101.2,176.8,ohc,four,101,23,16430.0,17251.5
1,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,16500.0,17325.0
10,Bmw,sedan,101.2,176.8,ohc,four,101,23,16925.0,17771.25
4,Audi,sedan,99.4,176.6,ohc,five,115,18,17450.0,18322.5
43,Mazda,sedan,104.9,175.0,ohc,four,72,31,18344.0,19261.2
6,Audi,wagon,105.8,192.7,ohc,five,110,19,18920.0,19866.0
11,Bmw,sedan,101.2,176.8,ohc,six,121,21,20970.0,22018.5
44,Mercedes-Benz,sedan,110.0,190.9,ohc,five,123,22,25552.0,26829.600000000002
45,Mercedes-Benz,wagon,110.0,190.9,ohc,five,123,22,28248.0,29660.4
13,Bmw,sedan,103.5,189.0,ohc,six,182,16,30760.0,32298.0
33,Jaguar,sedan,113.0,199.6,dohc,six,176,15,32250.0,33862.5
61,Porsche,hardtop,89.5,168.9,ohcf,six,207,17,34028.0,35729.4
34,Jaguar,sedan,113.0,199.6,dohc,six,176,15,35550.0,37327.5
35,Jaguar,sedan,102.0,191.7,ohcv,twelve,262,13,36000.0,37800.0
15,Bmw,sedan,110.0,197.0,ohc,six,182,15,36880.0,38724.0
62,Porsche,convertible,89.5,168.9,ohcf,six,207,17,37028.0,38879.4
46,Mercedes-Benz,sedan,120.9,208.1,ohcv,eight,184,14,40960.0,43008.0
14,Bmw,sedan,103.5,193.8,ohc,six,182,16,41315.0,43380.75
47,Mercedes-Benz,hardtop,112.0,199.2,ohcv,eight,184,14,45400.0,47670.0
